uuid	patent_id	text	dependent	sequence	exemplary
0001wuwotoxlf7thw84da89r7	6676753	A Czochralski puller for growing monocrystalline silicon ingots, comprising:a chamber enclosure; a crucible in the chamber enclosure that holds molten silicon; a seed holder in the chamber enclosure, adjacent the crucible to hold a seed crystal; a heater in the chamber enclosure, surrounding the crucible; a ring-shaped heat shield housing in the chamber enclosure, including inner and outer heat shield housing walls that are separated from one another, and a heat shield housing top and a heat shield housing bottom which connect the inner and outer heat shield housing walls, the heat shield housing top sloping upwards from the inner heat shield housing wall to the outer heat shield housing wall, and the heat shield housing bottom including a first portion adjacent the inner heat shield housing wall that slopes downwards from the inner heat shield housing wall towards the outer heat shield housing wall and a second portion adjacent the outer heat shield housing wall that slopes downwards from the outer heat shield housing wall towards the inner heat shield housing wall; and a support member that supports the heat shield housing within the crucible.	NULL	1	True
0001xk3wwbabzthye8ahxcn8s	8508394	The semiconductor integrated circuit according to claim 2, wherein the A/D converter is configured by any of a successive approximation type A/D converter, a flash type A/D converter, a pipeline type A/D converter, and a &#x3a3;&#x394; type A/D converter.	2	9	False
0001xrigps9mi371sppvmo6ln	6858818	The method of claim 34 wherein the act of determining the difference between the operating condition and the user input is calculated by subtracting an actual voltage from the target voltage if the method selection is a constant current plus voltage mode or by subtracting the actual current from the target current if the mode selection is a constant voltage plus current mode.	34	35	False
0001yez8xfmck2hetw0x7frn0	9295048	The apparatus of claim 30, wherein the UE is scheduled on the secondary component carrier when the determined measure does not correspond to strong inter-cell interference.	30	32	False
0001yokxjfzvkc7vkxaimdp3p	7608642	A method of promoting healthy skin development in a mammal comprising topically administering to the mammal a safe and effective amount of a composition comprising a dermatologically acceptable carrier and an amount of a jasmonic acid compound effective for stimulating fibronectin production in mammalian fibroblasts and keratinocyte cell growth to thereby promote healthy skin development in the mammal, wherein the concentration of the jasmonic acid compound is about 10&#x2212;4 M to about 10&#x2212;6 M.	NULL	2	False
0001zzepvgvlzano1z9mgf7bz	7238452	The lithium secondary battery according to claim 14, wherein the additive compound is chloroimidazole.	14	16	False
00020t0pm2gj5d8gacy4xa6o6	5293753	The method of claim 1, further comprising raising the temperature during said rest period by spraying the interior of the plant with vapour or water of a temperature higher than the requisite for killing bacteria.	NULL	4	False
00020wwf8mll80fvh82mb38ma	5438685	A converter console for converting to mobile operation a portable radio, having externally accessible power contacts and a universal connector for connecting remote controls thereto, the converter console comprising:a housing including power contacts designed to mate with the power contacts of the portable radio and radio controls connected to a universal connector designed to mate with the universal connector of the portable radio;a four-bar linkage having a portable radio receiving pocket as one of the bars, the pocket having a universal connector aperture and a power contact aperture;a pair of guideways formed in the pocket including a generally horizontal section and having the four-bar linkage movably engaged therein for generally pivotal movement of the pocket, the generally horizontal section of the guideways each having a lower curvilinear end which defines a loaded position for the pocket wherein the universal connector of the portable radio positioned within the pocket is mated with the universal connector of the housing, through the universal connector aperture, and the power contacts of the portable radio are mated with the power contacts of the housing, through the power contact aperture, and the horizontal section having an upper end which defines an unloaded position wherein the portable radio is easily removable from the pocket; anda spring positioned between the housing and the pocket for biasing the pocket toward one of the loaded and the unloaded positions.	NULL	7	False
00020yq39zhmxvp3viusko9wu	5550105	A superconducting composition as claimed in claim 1 in which B is Y.	NULL	5	False
000210mmn0hsgb4hr8hqq3wdg	5623370	A radial gradient index lens system as claimed in claim 11, wherein said gradient index lens system is for use as a reading optical system.	NULL	12	False
00021yiye8m8pcdlcd1s5zj5k	7518142	Encapsulation structure in accordance with claim 1, wherein arranged on the secondary barrier is a hydrophobic layer, whose surface energy is such that the contact angle with water is greater than 80&#xb0;.	1	8	False
00022g1lved01ckybsgxh5e46	8407041	The system of claim 1, wherein the decision rule includes a translation score, acoustic score, and language model score to refine the multiple hypotheses and determine a translation candidate.	1	4	False
00024fwoznldj7dizd755gdx7	6931441	A computer-readable medium for managing a network, the network including a plurality of network elements that are configured to be interconnected to one another, the computer-readable medium carrying instructions for performing:receiving, at a management device, link state information about a link state for each network element in the plurality of network elements, wherein only data that was inherently communicated according to a routing protocol, between two or more of the plurality of network elements, was used to generate the link state information;determining, at the management device, whether any of the plurality of network elements are unreachable, based only on the link state information; andconfiguring, from the management device, a management policy for at least one of the network elements, the management policy identifying if any of the plurality of network elements are detected as being unreachable;wherein the management device is not a router.	NULL	24	False
00024k3tbqf5abqmuivfxrqlr	8301618	A method as described in claim 8, wherein:the content and the metadata are streamed to the client device from a head end of a network operator; andthe remote device receives the metadata via the client device.	8	12	False
00024qvmhujt9timgi1s4voj7	8636826	The gas-generating apparatus of claim 1, wherein the lattice structure is hydrophobic and has a static contact angle with water of greater than about 120&#xb0;.	1	2	False
0002580pcqf8g4p04yyapuq5c	6834187	The method of claim 6 wherein operating each said local oscillator-synthesizer pair to avoid said spurious responses includes selecting local oscillator frequencies which are generated while said fractional-N synthesizers are outside of N.f ranges in which said N.f numbers are approximately integers.	6	7	False
00025g5tnr9vbzytbj7na4yl1	4397267	In a fluidized bed heat exchanger wherein particulate solids are circulated from a fluidized-bed combustion zone by way of a flow-control zone upwardly through an elongated vertically disposed heat exchange zone and thence back to said combustion zone, the method of controlling the rate of circulation of said particulate solids which comprises:measuring the pressure differential between two points along said heat exchange zone,comparing the measured value of said differential to a predetermined reference value,generating a control signal responsive to said comparing, andutilizing said control signal to permit increased flow of said particulate solids through said flow control zone responsive to a decrease in said pressure differential and a decreased flow of said solids responsive to an increase in said differential.	NULL	1	True
00025glhp5otbz8gyuoetvrtk	5065853	A lockup clutch torque converter comprising a front cover as an input part, an impeller linked to an outer circumference of said front cover, a second turbine disposed between said front cover and impeller in a position opposite to said impeller in an axial direction of said torque converter, a first turbine disposed between said impeller and the outer circumference of said second turbine, a stator disposed between said impeller and an inner circumference of said second turbine, a second turbine output part to which the inner circumference of said second turbine is linked, a first turbine power take-off support stretching outside said second turbine in a radial direction of said torque converter and between said second turbine and said front cover, a first turbine output part to which the inner circumference of said support is linked, and a clutch disc slidably mounted on said first turbine output part and disposed between said support and said front cover, said clutch disc including a piston, a friction facing for linking said clutch disc to an inside of said front cover by friction and an output part on said support, said clutch disc including damper springs for linking said clutch and said output part on said support when said clutch is linked by friction to said front cover.	NULL	1	True
00025nsd1v55u8ga5waw38eff	8360218	The structure for disposing a clutch control apparatus in a power unit for a saddle-ride type vehicle according to claim 19, whereinthe engine main body is a V-type engine and includes a front-side bank positioned on a front side of the engine main body in a state of being mounted on the vehicle and a rear-side bank disposed at the rear side of the front-side bank; andthe clutch control apparatus is disposed in a position at a side of the cylinder block located on the front-side bank side, andwhen the clutch control apparatus is viewed from the lateral side, the two individual control means can be seen to be spaced apart from each other so as not overlap each other.	19	20	False
000273ogmboc7rjamhcwhzaak	9141958	The method of claim 1 wherein said service technical data comprises information associated with an apparatus.	1	8	False
00028h9hhmjyys5rkd4uylq0w	4542347	Demodulator circuit for demodulating a suppressed carrier phase modulated data input signal, including a carrier recovery circuit providing orthogonal reference carrier signals, first and second demodulation circuits for demodulating said input signal with respective ones of said orthogonal reference carrier signals to provide first and second demodulated signals respectively, at least one data estimation circuit for deriving a first data estimation signal from said first demodulated signal, said second demodulated signal being delayed to obtain a delayed second demodulated signal which in combination with said first data estimation signal controls said carrier recovery circuit, characterized in that said demodulator circuit further includes an AGC circuit (AGCC) which in response to said first data estimation signal (ED1) and to a delayed first demodulated signal (DDD1) derived from said first demodulated signal (DD1) provides an AGC output signal.	NULL	1	True
00028rj52wwmo5rkt3t1y5tzt	4401432	An add-on device as in claim 2 in which the rigid inner and outer ampules are carried in a flexible distal cup end which is secured to the tubular sheath and provides the closure end seal of said second end.	NULL	3	False
0002957yqm3txusz8skbhi8on	8079882	An interconnecting modular connector as claimed in claim 7, wherein said first and second sidewalls include locking means for locking engagement with an adjacent connector.	7	11	False
0002a350guqlc7yrz1admh3e3	6315657	An air outlet grille according to claim 3, wherein said projections on said spring plate are so disposed to index the associated louver blade into positions at 0, 15, 30 or 45.degree. from parallel with the supply air flow.	NULL	4	False
0002bskc538dn9ak94ncxy0s1	8310577	The method of claim 25, further comprising clipping the determined difference when the determined difference is negative.	25	26	False
0002c0hw9f868j7nmxxxk4y13	7114680	The method of claim 22, further comprising applying tension to the flexible recovery line after deploying the recovery line and before releasably capturing the aircraft.	22	26	False
0002dsdgaqvvev8x5792ccnng	6469956	The apparatus of claim 12 wherein in said apparatus is miniaturized for positioning on a visually impaired person in an unobtrusive manner such that said transducers of said left and right ultrasonic drivers are positioned so that said left transducer provides coverage of an area to the left and front of said visually impaired individual and said right transducer provides coverage for a right and front side of said visually impaired person.	12	13	False
0002el3qdbzlj59b2fm6w2pyq	8958509	A method of enhancing sensitivity of a sensor system comprising the steps of:providing a sensor system having a frequency bandwidth N times a matched filter bandwidth for an input signal to be detected by the sensor system, where N is greater than one;sensing the input signal and naturally occurring white noise at an input of the sensor system and providing an electrical signal representation thereof at an output of the sensor system;providing a digital signal processor to filter the electrical signal as a plurality of frequency domain cells and receiving said electrical signal as N sequential digital samples, the digital signal processor including a matrix digital signal processor for applying a transform to said N sequential digital samples using a matrix of N&#xd7;N cells having an abscissa axis representing equally spaced frequency domain values and an ordinate axis representing code domain values, one of said cells defining a designated cell, the designated cell having a center frequency and a frequency bandwidth matched to the input signal, said code domain values being established by unique and non-duplicated code constants to provide a transform where a remainder of said plurality of frequency domain cells include frequency domain cells outside said matched filter bandwidth with a common code constant and cells transformed differently with a different code constant;processing said remainder of said plurality of frequency domain cells to obtain an estimate of naturally occurring white noise and information signal energy in the designated cell and the remainder of said plurality of frequency domain cells; andcompensating for the naturally occurring white noise in the designated cell using the estimate of naturally occurring white noise energy established from the remainder of the plurality of frequency domain cells.	NULL	31	False
0002ercmon7xq21n1gpsx29og	4200439	The process of claim 9 wherein said contacting is continued for a period of time within the range from about 0.25 to about 1 hour.	NULL	17	False
0002eudpbddew5sumzmpxzfa6	4636019	The connector mechanism of claim 14, further including a coupling yoke coupling said linear cam means of said connector mechanism to the linear cam means of the other said mechanism.	NULL	15	False
0002fdebayr3qzzt1w040ycda	8712017	The method as claimed in claim 7, wherein the step of monitoring the call length pattern of the plurality of grouped entities comprises:for the duration of the predetermined monitoring period, each of the plurality of grouped entities reporting the length of each call handled by that entity at the end of the call.	7	8	False
0002fii6nn6omd70u54piqphm	4434801	The apparatus of claim 28 wherein the cueing signal is an aural pulse derived at a rate of once for each desired pedal turn.	NULL	29	False
0002gfwhzql1welh86v9ebczv	8563520	The method of claim 4 wherein the one or more intraocular pressure-normalizing drugs are selected from the group consisting of non-selective-adrenoceptor blockers, selective-adrenoceptor blockers, prostaglandins, carbonic anhydrase inhibitors, adrenergic agonists and miotics.	4	5	False
0002grlentsgx3mu9dhl1xh1a	8371152	The device as in claim 10, wherein the analytical column is encased by the conduit.	10	11	False
0002i6c8iwipsyszwzfrtc03k	9300301	The nonvolatile magnetic logic device of claim 1, wherein the read path further comprises at least one magnetic tunnel junction (MTJ), and wherein a read path terminal of the plurality of read path terminals is electrically coupled to a free layer of the at least one MTJ via an ohmic contact.	1	14	False
0002ig4h3t0b2ba8ibzwnxbez	5573653	An electrochemical process for thiocyanating an aminobenzene compound which comprises subjecting to direct current at the anode of an electrolytic cell, at a temperature of about 10.degree. to 25.degree. C., an aqueous acidic electrolyte medium comprising the aminobenzene compound, a source of thiocyanate ion, and an alcohol, wherein said electrolyte medium is adjusted such that:(i) thiocyanate ion, is present in the electrolyte medium in an amount such that (A) there are at least 2.5 moles of thiocyanate ion per mole of aminobenzene compound, and (B) thiocyanate ion comprises at least 7% by weight of the electrolyte medium; and(ii) acid concentration in moles per kg. of electrolyte medium is 0.5 n-1.25n where n is the number of equivalents of acid needed to neutralize one mole of thiocyanate ion; and(iii) water concentration is no greater than 10 moles of water per kg. of electrolyte medium.	NULL	1	True
0002j0kihjhk2aj6cuqjhw6wj	4413099	The process of claim 43 in which the monomeric unit is 2-vinyl-5-ethyl-1-methylpiperidine.	NULL	44	False
0002l3txjxhm4ivxc0krukzqo	6144346	An antenna arrangement as defined in claim 1, wherein said receiver stage has two inputs arranged symmetrically to each other.	NULL	2	False
0002l9oxjnxmfdwepmpv14hi0	RE41864	A spray nozzle as defined in claim 43, further comprising a retaining member defining a retaining surface engageable with the swirl unit for retaining the swirl unit and orifice plate within the carrier.	43	46	False
0002mi646jocpght1zxcjznza	9545664	A method of die casting a molten metal having a melting temperature of at least 1500&#xb0; F. (815&#xb0; C.), the method comprising the steps of:injecting the molten metal into gating and a main cavity of a die casting die, the main cavity and gating forming at least a part of a recess defined by at least a first die plate and a second die plate;operating an in situ zone refining apparatus to directionally apply a first localized thermal gradient to the molten metal through an exterior surface of at least one of the first and second die plates to the die casting die recess, the in situ zone refining apparatus and the die plates movable relative to each other so as to apply the first localized thermal gradient along a first longitudinal direction along the main cavity from a first end to a second end;wherein operating the in situ zone refining apparatus comprises:operating a chiller to direct a first fluid spray from a first fluid sprayer toward a first lateral side of the die casting die, and to direct a second fluid spray from a second fluid sprayer toward a second opposing lateral side of the die casting die, and moving the first and second fluid sprayers in the first longitudinal direction relative to the die casting die, or vice versa; andoperating a heat source disposed ahead of the chiller, wherein the heat source is movable relative to the die casting die, or vice versa, the heat source selectively cooperating with the chiller such that the first localized thermal gradient is applied through the exterior surface of the at least one of the first and second die plates, and along the first longitudinal direction across at least the main cavity;wherein the step of directionally applying a first localized thermal gradient induces a movable solidification front in the molten metal disposed in the main part cavity such that a portion of the metal above the solidification front remains above a &#x3b3;/&#x3b3;&#x2032; solvus temperature of the metal as the first localized thermal gradient is directionally applied, thereby solidifying the molten metal in the main part cavity to form a casting.	NULL	6	True
0002mkk3ciekcj84e40jueayr	5489930	The method of claim 10 in which the holes of the first array of holes and the second array of holes have a rectangular shape.	NULL	15	False
0002njdob4me9nb6hggtmpbfs	9168013	The method of claim 5, wherein the first image data of step a) is used for an exposure control in step b).	5	15	False
0002nwka8ovfyroaj2w067dyi	8464529	The method of claim 7 further comprising eliminating the air-to-fuel ratio enrichment to a steady state value when the speed of the vehicle exceeds a threshold.	7	8	False
0002oapl4hreov7o71vfud4gm	9514131	A method as in claim 22, wherein the second data encapsulated by the at least one optical identifier is formatted using an industry standard representation of the medication being characterized or a proprietary representation of the medication being characterized.	22	25	False
0002owo28xpmlw6g058zt9xt4	9236103	The magnetic device as defined in claim 4 wherein the magnetization direction becomes precessional for the &#x3b2; less than or about equal to 1, thereby providing higher precession frequencies for higher current amplitudes.	4	8	False
0002pmzt893ykeercoadjos3x	5658525	A method as in claim 7 wherein said stream of cooling air is produced by a vortex tube connected to a source of pressurized air, said vortex tube having a cool air outlet at one end connected to said air ring in said air gap and a warm air outlet at an opposite end thereof.	NULL	9	False
0002pz9db2jo6if0yid5f8e3l	8643523	The apparatus of claim 1 wherein the sequencer is coupled to an external hardware event trigger line wherein the external hardware event trigger line allows sample conversion to be time-synchronized to other system events.	1	3	False
0002q8k1fbpfyiqbmwuccvmw1	9080556	The vertical shaft wind power system recited in claim 8, wherein the reducer is a turbo-worm reducer.	8	10	False
0002qxgbc800gxwpcfs4op33o	4489041	An improved plasma reactor of the falling film type, the improvement comprising(a) a water cooled injection ring having a cylindrical passage therethrough, said passage having a first section with a first diameter joining a second section with a second diameter greater than said first diameter, said first and second sections having a common axis;(b) a radiation barrier generated about said common axis having an inner surface of revolution which extends said first section of said passage into said second section;(c) one or more reactant feed ports passing through said injection ring terminating in said second section in close proximity to the junction with said first section.	NULL	1	True
0002rr0uorwd5ftnifoy9ornh	7143550	A double layer reticulated frame structure, comprising:an internal network portion comprised of interconnected chord struts, the interconnected chord struts defining a two-way grid in the internal network portion;an external network portion comprised of interconnected chord struts and intermediate lattice struts, the chord struts defining a two-way grid in the external network portion corresponding to the two-way grid of the internal network portion, and the intermediate lattice struts defining a plurality of openings in the two-way grid of the external network portion; anddiagonal struts connected to the chord struts of the external and the internal network portions in an alternating manner along two directions such that diagonal struts along one internal chord strut direction are connected to the external and internal network portions at different nodes than diagonal struts along the other internal chord strut direction so that only two diagonal struts are connected to each other at any node in both the internal and internal network portions.	NULL	1	True
0002rvl5hvv948v6lwi2wev37	8239724	The apparatus of claim 2 wherein the input interface is arranged and configured to arbitrate the order using a fixed priority scheme.	2	5	False
0002ubm92xhj0nyx10aa6m0mm	6884784	The method of claim 31, wherein said azalide is azithromycin.	31	33	False
0002ueeh0ot34yhc2x0f17942	6003707	A receptacle comprising a plurality of lateral walls connected together by interfitting slits formed in said lateral walls; a bottom received within said walls and formed with a plurality of blind bores opening toward said walls and receiving respective pins, respective blind holes formed in said lateral walls in registry with said blind bores of said bottom and engaged by said pins; and springs in at least some of said blind bores bearing upon movable pins thereof for urging same outwardly, whereby at least one of said movable pins can be urged into the respective bore against a force of a spring therein upon the fitting of one of said lateral walls into another of said lateral walls and jumps into the registering hole of said one of said one of said walls upon alignment therewith.	NULL	1	True
0002uxj1cp2cwet0gn1keyywg	8191271	The geodetic apparatus according to claim 1 wherein the geodetic apparatus comprises at least one of a tacheometer or a theodolite.	1	17	False
0002vjp65vvokib2utf6zahua	5426895	A wiper blade cleaning device comprising:a base element;two walls attached orthogonally to said base element in facing relationship, thus defining a channel of a certain width between said facing walls for engagement with a wiper blade, said channel having dimensions suitable for receiving at least a portion of an edge of said wiper blade, each said wall in facing relationship consisting of a first portion adjacent and orthogonal to said base element and a second portion remote from and non-orthogonal to said base element, said second wall portions directed away frown each other in a substantially V-shaped cross-section, said V-shaped cross-section having a width greater than any width between said first wall portions but not greater than the width of said base element; andfriction means on at least a portion of the base element, said friction means comprising a plurality of projections disposed within said channel,whereby when said channel is engaged with a wiper blade and said device and wiper blade are moved relative to each other, said friction means produces a wiping action on the edge of said wiper blade, thereby cleaning without eroding said wiper blade.	NULL	1	True
0002wbav2j93fso8hzlq6250i	4875699	The vehicle according to claim 10, wherein said drum includes means to effect the disengagement of said clutch at a second predetermined rotary position thereof.	NULL	11	False
0002whhhdx17yyc9dx619m8bo	7979589	The method of claim 13, wherein each port multiplier comprises a SATA port multiplier having two ports.	13	18	False
0002xwkpx1ldhn6y93alymlym	7579106	The implantable medical device of claim 16 wherein said cover comprises a selected one of grade 2 titanium and grade 3 titanium.	16	17	False
0002zasm7o5uyu67egn3cehpq	9454240	The method of claim 1, wherein the spatial model probability is a first spatial model probability, wherein the at least one characteristic of the gesture comprises a curvature associated with the portion of the gesture, and wherein adjusting the first spatial model probability associated with the one or more keys comprises:responsive to determining the curvature satisfies a curvature threshold, increasing, by the computing device, a second spatial model probability, wherein the second spatial model probability is associated with at least one key of the plurality of keys, and wherein the first spatial model probability is based at least in part on the second spatial model probability.	1	6	False
0002zq5azo6cyjha26f6ij1su	7667371	The handheld electronic device of claim 13 wherein the pulsed current sink discharge circuit is operatively coupled to feedback energy from the piezoelectric actuator to a voltage source node.	13	14	False
00030fvoa8dx44lcq47s87ea2	5146865	A water-jet propulsion system as defined in claim 1 including a control shaft extending coaxially within the pressure housing, radial cross members connecting the lower end of the shaft to the bottom plate, the upper end of the shaft extending upwardly beyond the cover plate, and a drive mechanism for rotating the shaft and thereby rotating the bottom plate.	NULL	12	False
00030mbsmuiblpkpwmp7l3rml	4544407	The process of claim 18 wherein the magnesium compound is an alloy comprising magnesium and nickel.	NULL	21	False
00030qq8ozic6p3p8qb5t7oex	5223466	The catalyst or catalyst component of claim 2 wherein in Step D the aforesaid second temperature is from about 40 to about 60 degrees below the aforesaid first temperature.	NULL	15	False
00030qun3y25onyduhtz82wrd	6979446	The antibody according to claim 1 having a variable light sequence encoded by a nucleic acid sequence having the sequence SEQ ID NO:5, or degenerates thereof, and a variable heavy chain encoded by a nucleic acid having the sequence SEQ ID NO:7, or degenerates thereof.	1	25	False
00030ujlp99ki2cehyzit7zva	7736300	The apparatus of claim 1, wherein the flexible material includes a polymeric material.	1	10	False
00030wul5ei65f3imsoct4pi1	9068329	The jet regulator according to claim 1, wherein the elastic valve body is part of the flow chambers or flow channels.	1	3	False
000320ju2ve87kunjcxbwx5mp	4571009	The accumulator of claim 9 wherein the insertable plug is circularly shaped in transverse cross section and is longitudinally convex along exterior sides thereof.	NULL	11	False
00032f7ury88bk4me71mr4r8u	7717756	The probe connector as claimed in claim 1, wherein the wrapping element has a receiving groove at an inner surface thereof, the fixing slices are received in the receiving groove.	1	2	False
00032ju4qn5hhjrncfz510y85	6334950	A self-contained oil filter replacement assembly as defined in claim 1 wherein said fluid passage includes an indexing plate drive means, responsive to said parameter limits for driving said indexing plate.	1	3	False
00033d6sjtkcjgqraaju9of8h	7831409	The non-transitory computer-readable medium of claim 17 wherein the first binomial distribution is approximately equal to a first normal distribution associated with a first mean and a first standard deviation, and the second binomial distribution is approximately equal to a second normal distribution associated with a second mean and a second standard deviation.	17	18	False
00033fnhctn83is2w8pmvw3lv	7379642	The telecommunications cable of claim 1, wherein the layer shrinks less than 1% in length when tested separately from the optical fiber for carrying a telecommunications signal by exposing the layer to 110 degrees Celsius for 2 hours.	1	9	False
00034gt9t1zc88pzl45mj6qsu	D754644	The ornamental design for a cover for mobile phone, as shown and described.	NULL	1	True
00034pv4z6llymaov4p7rabws	9714591	The crankcase gas separator according to claim 1, wherein the gear device is arranged to be lubricated by the oil contained in the crankcase gas and separated oil from the crankcase gas is arranged to be drained through a bearing of the centrifugal rotor which is situated at a centrifugal rotor's proximal end to the gear housing, whereby said bearing is lubricated by the separated oil which is drained through the bearing and into the gear chamber inside the gear housing,wherein the central channel in the centrifugal rotor is communicating with a bearing of the centrifugal rotor which is situated at a centrifugal rotor's distal end to the gear housing, andwherein the centrifugal rotor is supported only in the bearings at the proximal and distal end.	1	7	False
00035ahunz1wxhy9vh33pbfi1	5407150	A thrust unit for a VTOL aircraft, the thrust unit having a lift unit for propelling the aircraft in upward flight, the lift unit operating at low pressure and high volume, the lift unit comprising:a duct having a inlet and a chamber located below the inlet, the chamber being terminated at its lower end by a core and terminating at its outer periphery by an annular cylinder, the duct also having a plurality of spaced apart lift sub-ducts attached to the chamber at its outer periphery, each lift sub-duct being disposed outwardly and downwardly from the chamber for exhausting downwardly, the lift sub-ducts including forward lift sub-ducts disposed forwardly of the lift unit and rearward lift sub-ducts disposed rearwardly of the lift unit, the forward lift sub-ducts and the rearward lift sub-ducts having equal resistance to air passing through them when the aircraft is in a vertical flight mode, and in which the forward lift sub-ducts have a greater resistance to air passing therethrough than the rearward lift sub-ducts when the aircraft is in a transition flight mode, so that the forward lift sub-ducts and the rearward lift sub-ducts can provide substantially equal lift in both the vertical flight mode and the transition flight mode; andan air pump disposed for inducing a draft of air through each of the lift sub-ducts;wherein the draft of air exhausting from each of the lift sub-ducts is substantially non-convergent and produces upward thrust.	NULL	27	False
00035bmwvfc58ydpnxr56enme	6716027	The boat of claim 1, wherein the upper and lower end portions of the columns forming each said joint comprise first and second convexo-concave portions, respectively, the convexo-concave portions having complementary shapes such that the respective convexo-concave portions mate with each other.	1	2	False
00035lesxfhg95ycy1myna796	9186106	The method of claim 1, wherein detecting an epileptic seizure is based on the temporal relationship between the at least one respiratory feature and the at least one kinetic feature.	1	6	False
00037dab4j3wnj67ln34m77d0	9245734	The lamp of claim 1 wherein the second metallic structure is a conductive metal that does not react with mercury.	1	13	False
0003b7ga3bw6gdhfm2um07maz	5412893	The improvement of claim 11, further comprising guide means mounted on said support means for positioning the web in the window, and means for adjusting said guide means for tracking the position of the webs relative to the window.	NULL	12	False
0003bg33e4n9wyikzqkbjl3g5	6173847	A storage rack as in claim 8 further comprising:a bottom longitudinal member; and wherein said end is an angled end.	NULL	13	False
0003br3q2qx7zg88f59af4on2	5703659	A method of reducing and magnifying picture size of a video composite signal composed of data of a sequence of fields having a sequence of lines and modulated with a color sub-carrier; comprising: a step of sampling and A/D converting the video composite signal in synchronization with a clock signal, the clock signal having a frequency of four times the frequency of, and being synchronized with, the color sub-carrier, wherein the video composite signal is converted into digital data composed of a sequence of pairs of data, each of said pairs of data being one of an even pair of data sampled at phases of the color sub-carrier shifted by 0 and .pi./2 from a base phase and an odd pair of data sampled at phases of the color sub-carrier shifted by .pi. and 3.pi./2 from said base phase; a step of buffering said digital data with a first field buffer and a second field buffer for obtaining first and second display data, said first display data being composed of data read out synchronously with synchronous signals for displaying a picture from said first and said second field buffers storing said digital data, wherein data of certain lines of each field and certain pairs of data of each line of said digital data are subtracted when the picture size is reduced, and data of certain lines of each field and certain pairs of data of each line of said digital data are repeated a predetermined number of times when the picture size is magnified, and said second display data being composed of a display sequence of pairs of data, wherein each even pair of data of said display sequence of pairs of data are read out simultaneously with a corresponding odd pair of data of said first display data from said first and said second field buffers storing said digital data of one of adjacent fields of said corresponding odd pair of data, and each odd pair of data of said display sequence of pairs of data are read out simultaneously with a corresponding even pair of data of said first display data from said first and said second field buffers storing said digital data of one of adjacent fields of said corresponding even pair of data; and a step of demodulating and D/A converting a sequence of ensembles of the even and the odd pair of data of said first and said second display data simultaneously read out into R, G and B signals for displaying the picture.	NULL	1	False
0003c619j6rcb3k558t8egydd	4872234	The cleaning tool of claim 14 further comprising:(e) means for attaching said rear mounting portion of said shroud to said mounting tip.	NULL	15	False
0003ccss2hgukw73qx67stfbg	8681814	The base station according to claim 1 wherein the connection information includes timing information on timing of bandwidth allocation in the relay station.	1	3	False
0003cwaw264na6yebz8hc64pz	9432554	The method of claim 12, wherein the look up table representing the final set of metadata is formed by concatenating an inverted version of the look up table representing the second set of metadata the look up table representing the first set of metadata.	12	13	False
0003djuqlwhyghzrxfzmij10m	4910006	The zeolite according to claim 2 wherein W is aluminum and Y is silicon.	NULL	3	False
0003dk7nvy7c3yw24jvxza580	6163819	The circuit of claim 1, wherein the sequential storage device comprises a storage clock input and a storage chip enable input.	NULL	4	False
0003e5mdppdqr91ri47yypgg5	PP6290	The new and distinct carnation cultivar, substantially as herein shown and described, characterized by the uniform overall pink coloration of its medium sized, generally ball-shaped blooms which are carried on long, straight, stiff stems; and by its rapid growth habit and a moderately abundant production of foliage.	NULL	1	True
0003ec7bagrvnfvv3fxsp8zi6	4711715	In the apparatus of claim 8, the improvement further comprising:a supply line connected to said single connection with said patient;a discharge line connected to said single connection with said patient;a tube section connecting said discharge line and said supply line to said sensor;a supply line clip in said supply line operatively coupled to said control unit;a discharge line clip in said discharge line operatively coupled to said control unit; anda tube clip in said second blood side downstream of said second pump and operatively coupled to said control unit;said control unit being operative during said first time interval to open said discharge clip, and to close said supply line clip and to close said tube clip, said control unit being operative during said second time interval to close said discharge clip and to open said supply line clip and to open said tube clip.	NULL	9	False
0003ekif3ih2ixr1v3yd1p2yb	9047211	The method of claim 1, wherein the selected bit provides a level of quality of service higher than indicated by the priority designation of the data, to satisfy the write order for the plurality of bits.	1	7	False
0003ekkuvnickjg6y0ifrio2y	5685571	A socket in accordance with claim 6 wherein the body has a protuberance extending in the direction opposite from the face and adapted for connection to a member.	NULL	7	False
0003fv3zn7j98jq56qaakcbxg	7008351	The training device of claim 1 further comprising a reinforcement to protect the surfaces of the handle, magnet, casing or barrel from damage due to the repeated impact or beating of the plunger.	1	7	False
0003g2udd1cso6jhv8row73g8	4969345	Conversion apparatus according to claim 9 wherein said mandrel is provided adjacent its rearmost end with a pressing element for urging out of the plane of the blank a part of the blank adjacent the collar formed.	NULL	17	False
0003gt84kdtfuka6istn5jizv	9556991	A pipe joint according to claim 13, wherein the space is provided between one of the inclined surfaces and a terminal end of the inner circumferential surface of the main body portion, the terminal end being positioned outside of the central portion of the inner circumferential surface of the main body portion.	13	14	False
0003gu2z0xyk74c6kd7a23olt	8834004	The device of claim 12, wherein the magnitude of dn2 is less than half that of dn1 at a visible wavelength of light.	12	13	False
